dataset,command_id,analysis_role,protected_attribute,comparison,group,group_value,metric,estimate,ci_low,ci_high,ci_method,numerator,denominator,selected_family,test_auroc,threshold
BRFSS 2022 (heart disease),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Oldest (65_plus),65_plus,npv,0.924878436042473,0.9211578292524444,0.9284371055517474,wilson,18640,20154,xgboost,0.8172988611282732,0.10025098566219702
BRFSS 2022 (heart disease),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Oldest (65_plus),65_plus,ppv,0.24588454376163874,0.24077050373559986,0.2510712865376613,wilson,6602,26850,xgboost,0.8172988611282732,0.10025098566219702
BRFSS 2022 (heart disease),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Oldest (65_plus),65_plus,prevalence,0.17266615607182367,0.16927610018835765,0.1761097110925845,wilson,8116,47004,xgboost,0.8172988611282732,0.10025098566219702
BRFSS 2022 (heart disease),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Oldest (65_plus),65_plus,sensitivity,0.8134549038935436,0.8048323947667678,0.8217808249375204,wilson,6602,8116,xgboost,0.8172988611282732,0.10025098566219702
BRFSS 2022 (heart disease),age_decomposition,primary,age_band,Youngest (18_44) vs Oldest (65_plus),Oldest (65_plus),65_plus,specificity,0.4793252417198107,0.4743623063056162,0.4842922613444505,wilson,18640,38888,xgboost,0.8172988611282732,0.10025098566219702
NHANES 2017-18 (diabetes),age_decomposition,primary,age_band,Youngest (under_45) vs Oldest (65_plus),Youngest (under_45),under_45,npv,0.9716535433070866,0.9556392553753624,0.9819955704948281,wilson,617,635,logistic_regression,0.7865637854401899,0.1591160220994475
NHANES 2017-18 (diabetes),age_decomposition,primary,age_band,Youngest (under_45) vs Oldest (65_plus),Youngest (under_45),under_45,ppv,0.15384615384615385,0.09697301114953087,0.2353802341852435,wilson,16,104,logistic_regression,0.7865637854401899,0.1591160220994475
NHANES 2017-18 (diabetes),age_decomposition,primary,age_band,Youngest (under_45) vs Oldest (65_plus),Youngest (under_45),under_45,prevalence,0.046008119079837616,0.03310830976391602,0.0636033882271288,wilson,34,739,logistic_regression,0.7865637854401899,0.1591160220994475
NHANES 2017-18 (diabetes),age_decomposition,primary,age_band,Youngest (under_45) vs Oldest (65_plus),Youngest (under_45),under_45,sensitivity,0.47058823529411764,0.3145150447508847,0.6326328701993107,wilson,16,34,logistic_regression,0.7865637854401899,0.1591160220994475
NHANES 2017-18 (diabetes),age_decomposition,primary,age_band,Youngest (under_45) vs Oldest (65_plus),Youngest (under_45),under_45,specificity,0.875177304964539,0.8487278157612848,0.8975603611183549,wilson,617,705,logistic_regression,0.7865637854401899,0.1591160220994475
NHANES 2017-18 (diabetes),age_decomposition,primary,age_band,Youngest (under_45) vs Oldest (65_plus),Oldest (65_plus),65_plus,npv,0.7591240875912408,0.6810823562192406,0.8230305704324948,wilson,104,137,logistic_regression,0.7865637854401899,0.1591160220994475
NHANES 2017-18 (diabetes),age_decomposition,primary,age_band,Youngest (under_45) vs Oldest (65_plus),Oldest (65_plus),65_plus,ppv,0.4097222222222222,0.35447613811535206,0.467344927986334,wilson,118,288,logistic_regression,0.7865637854401899,0.1591160220994475
NHANES 2017-18 (diabetes),age_decomposition,primary,age_band,Youngest (under_45) vs Oldest (65_plus),Oldest (65_plus),65_plus,prevalence,0.3552941176470588,0.31127428399954993,0.40190643239329216,wilson,151,425,logistic_regression,0.7865637854401899,0.1591160220994475
NHANES 2017-18 (diabetes),age_decomposition,primary,age_band,Youngest (under_45) vs Oldest (65_plus),Oldest (65_plus),65_plus,sensitivity,0.7814569536423841,0.7090091535744212,0.8399394332406236,wilson,118,151,logistic_regression,0.7865637854401899,0.1591160220994475
NHANES 2017-18 (diabetes),age_decomposition,primary,age_band,Youngest (under_45) vs Oldest (65_plus),Oldest (65_plus),65_plus,specificity,0.3795620437956204,0.3241418377406799,0.43831261999165844,wilson,104,274,logistic_regression,0.7865637854401899,0.1591160220994475
